,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,false_discovery_rate,positive_likelyhood_ratio,diagnostic_odds_ratio,prevalence,matthews_correlation_coefficient,recall,miss_rate,negative_predictive_value,negative_likelyhood_ratio,fall_out,f1_score,threat_score,accuracy,precision,false_omission_rate,prevalence_threshold,balanced_accuracy,fowlkes_mallows_index,specificity,informedness,markedness,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000008684701898,1.0,True,0.5041746832168904,0.9834395365104261,0.7001620946887716,0.5,-0.03748116556101276,0.9447686126529455,0.05523138734705446,0.4158715943925877,1.404588371707803,0.9606778836707155,0.6503431495629924,0.4818581473894026,0.492045364491115,0.4958253167831096,0.5841284056074123,0.5020873779878615,0.492045364491115,0.6844269111127832,0.03932211632928446,-0.015909271017769955,-0.08830308882430271,0.5002305725383119,0.5107741196883829,2999.762797832489,861.5025188922882,1726847747.2096696,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,4.580264568328857,0.004880428314208984,1.71661376953125e-05,4.0531158447265625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000008684701898,1.0,True,0.5037172902353715,0.9852405692342443,0.7215357568724319,0.5,-0.03389213719615129,0.9469970341614232,0.05300296583857678,0.42274769449042326,1.3654771227206632,0.9611835563140229,0.6512642559151409,0.4828701684309814,0.49290673892370024,0.4962827097646285,0.5772523055095767,0.501858670801616,0.4929067389237002,0.6855496001404258,0.038816443685977184,-0.014186522152599634,-0.08096959574494822,0.480003114416434,0.4812101329553938,2999.762797832489,861.5025188922882,1726847747.2096696,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,4.580264568328857,0.004880428314208984,1.71661376953125e-05,4.0531158447265625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000008684701898,1.0,True,0.5035673054328614,0.9858318624169017,0.7195053453935294,0.5,-0.03338006794134074,0.9494887430101795,0.05051125698982051,0.4219138256634529,1.3701522424099664,0.9631345660530569,0.6519818337343156,0.48365953074686885,0.4931770884785613,0.49643269456713857,0.5780861743365471,0.5017836754151818,0.4931770884785613,0.6865546264891882,0.03686543394694304,-0.013645823042877425,-0.08165347976940851,0.5176262804941205,0.5240420711433206,1590.5657382011414,631.6236915588379,1726849974.3610826,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,4.8737921714782715,0.006001949310302734,1.811981201171875e-05,3.814697265625e-06,4.76837158203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000008684701898,1.0,True,0.5035676122067922,0.985830652645996,0.7156635733002601,0.5,-0.033659277730928014,0.9501669641189983,0.04983303588100174,0.4206088756500227,1.3775057015964483,0.9638237171554004,0.6521413882514231,0.48383516087447787,0.49317162348179894,0.4964323877932078,0.5793911243499773,0.5017838288079998,0.49317162348179894,0.6867995739659551,0.03617628284459961,-0.013656753036402125,-0.08295873655676944,0.49890042408242274,0.4954969383817622,1590.5657382011414,631.6236915588379,1726849974.3610826,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,4.8737921714782715,0.006001949310302734,1.811981201171875e-05,3.814697265625e-06,4.76837158203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000008684701898,1.0,True,0.5055410412815737,0.9780787677790631,0.6514785516859041,0.5,-0.04712855280476952,0.9371022003753958,0.06289779962460418,0.39978866892500853,1.5013215174129355,0.9581050435265931,0.6473472338459785,0.4785760618274354,0.48949857842440136,0.4944589587184262,0.6002113310749915,0.5027706057096883,0.48949857842440136,0.6807044720070261,0.04189495647340693,-0.02100284315119727,-0.1057523723565652,0.5020985399289887,0.5100448823514317,2875.3183913230896,391.26612305641174,1726853246.5726182,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,5.535890579223633,0.0057332515716552734,1.5974044799804688e-05,3.337860107421875e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000008684701898,1.0,True,0.5044604665419261,0.9823158925713146,0.7016953255461078,0.5,-0.03855603800240165,0.9407179674235417,0.059282032576458255,0.41668090924628265,1.3999179655455285,0.9576532096626413,0.6491356075168212,0.4805335096023743,0.4915323788804502,0.4955395334580739,0.5833190907537174,0.5022302776449165,0.4915323788804502,0.6827612633217335,0.04234679033735871,-0.01693524223909959,-0.08777955729564346,0.4840625792122655,0.4817962084080567,2875.3183913230896,391.26612305641174,1726853246.5726182,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,5.535890579223633,0.0057332515716552734,1.5974044799804688e-05,3.337860107421875e-06,4.291534423828125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000008684701898,1.0,True,0.5049318198835477,0.9804654026966053,0.6728925271928825,0.5,-0.04283602629969936,0.9402807978192738,0.05971920218072624,0.40698539319786553,1.4570906394024465,0.9590147650627849,0.6486270733188603,0.47997637107606916,0.4906330163782444,0.4950681801164523,0.5930146068021345,0.5024659699226448,0.4906330163782444,0.682277878415264,0.0409852349372151,-0.018733967243511174,-0.09794642668568221,0.5007145147099322,0.5168024549210171,1671.9119718074799,829.7899980545044,1726855751.9332707,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,3.5710904598236084,0.009812116622924805,2.2172927856445312e-05,4.291534423828125e-06,5.245208740234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000008684701898,1.0,True,0.5044377144057848,0.9824053028587987,0.6956459693570118,0.5,-0.03894492218528059,0.9421900307874019,0.05780996921259807,0.4145558487247142,1.4122202185212682,0.9590644798492329,0.6495052587307503,0.48093875443033485,0.4915627754690845,0.4955622855942152,0.5854441512752858,0.5022189009012554,0.4915627754690845,0.6833109432177191,0.04093552015076708,-0.016874449061831,-0.0898818656810706,0.4793428918857285,0.4843694015938382,1671.9119718074799,829.7899980545044,1726855751.9332707,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,3.5710904598236084,0.009812116622924805,2.2172927856445312e-05,4.291534423828125e-06,5.245208740234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000008684701898,1.0,True,0.5045565810353987,0.9819382752830291,0.6740123750536925,0.5,-0.04116555375090494,0.9445938332169946,0.05540616678300536,0.40702443331668037,1.4568549653184142,0.9619686460890116,0.6499731830588643,0.48145205332406715,0.49131259356399154,0.4954434189646013,0.5929755666833196,0.5022783378225101,0.49131259356399154,0.6840999914207763,0.038031353910988414,-0.01737481287201692,-0.09753214771871832,0.5059634169770817,0.5156251692072561,2183.8489565849304,1081.123216867447,1726859023.1084983,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,6.11205267906189,0.0058231353759765625,1.8835067749023438e-05,3.5762786865234375e-06,5.7220458984375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000008684701898,1.0,True,0.5043422271063271,0.9827806323843208,0.6811585632510124,0.5,-0.03967656776271988,0.945993946736492,0.05400605326350805,0.4093650567507242,1.4428074245939682,0.9625687722817851,0.650488944626088,0.48201824063297916,0.49171258722735345,0.4956577728936729,0.5906349432492758,0.502171154490917,0.49171258722735345,0.6847548852036803,0.037431227718214936,-0.016574825545293104,-0.09497717035560282,0.4872229831431036,0.4864999657682182,2183.8489565849304,1081.123216867447,1726859023.1084983,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,6.11205267906189,0.0058231353759765625,1.8835067749023438e-05,3.5762786865234375e-06,5.7220458984375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
10,train,0.8000008684701898,1.0,True,0.5041746832168904,0.9834395365104261,0.7001620946887716,0.5,-0.03748116556101276,0.9447686126529455,0.05523138734705446,0.4158715943925877,1.404588371707803,0.9606778836707155,0.6503431495629924,0.4818581473894026,0.492045364491115,0.4958253167831096,0.5841284056074123,0.5020873779878615,0.492045364491115,0.6844269111127832,0.03932211632928446,-0.015909271017769955,-0.08830308882430271,0.5002305725383119,0.5107741196883829,2999.762797832489,861.5025188922882,1726847747.2096696,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,4.580264568328857,0.004880428314208984,1.71661376953125e-05,4.0531158447265625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
11,test,0.8000008684701898,1.0,True,0.5037172902353715,0.9852405692342443,0.7215357568724319,0.5,-0.03389213719615129,0.9469970341614232,0.05300296583857678,0.42274769449042326,1.3654771227206632,0.9611835563140229,0.6512642559151409,0.4828701684309814,0.49290673892370024,0.4962827097646285,0.5772523055095767,0.501858670801616,0.4929067389237002,0.6855496001404258,0.038816443685977184,-0.014186522152599634,-0.08096959574494822,0.480003114416434,0.4812101329553938,2999.762797832489,861.5025188922882,1726847747.2096696,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0062410831451416016,5.245208740234375e-06,3.337860107421875e-06,4.580264568328857,0.004880428314208984,1.71661376953125e-05,4.0531158447265625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
